"","true_mean","oracle_mean","naive_mean","pi_naive_mean","lin_imp_mean","nn_imp_mean","nn_pi_imp_mean","nn_resamp_imp_mean","nn_wmse_imp_mean"
"1",0,21.5131957890423,26.1586244936485,26.0589543153107,26.0780777268303,25.8158087001644,25.6729563213121,0,0
"2",0,21.4070263887453,26.1520124963003,26.0656186178538,25.9715399504628,25.6587050698442,25.8608338508662,0,0
"3",0,21.6020948998976,26.2165068594001,26.1418140251485,26.1772313859845,26.2093293303542,26.214293856604,0,0
"4",0,21.4933105199079,26.1886310845875,26.0951609525784,26.0789083999469,24.2191351247032,26.0620624907499,0,0
"5",0,21.50978210649,26.1983693603001,26.1043022834863,26.10233141464,26.1418178972919,25.8256150023496,0,0
"6",0,21.542426973188,26.1039600437403,26.0139108805485,26.1539060251615,26.1077025023744,24.0909318236169,0,0
"7",0,21.5477449302384,26.1653725543364,26.088200550909,26.1000657323057,22.3062377508673,26.0631468636238,0,0
"8",0,21.548330573266,26.1116867792459,26.0336750825216,26.0812567383185,21.4811733379255,26.1142315436356,0,0
"9",0,21.6238786805475,26.2442569349534,26.1545919225241,26.1900591747686,26.2530952301546,26.2134332979753,0,0
"10",0,21.6341311341157,26.2265373370224,26.1396529601934,26.1911444545075,26.1497205916464,26.2239757336355,0,0
"11",0,21.5848990977638,26.117943799272,26.0202576989577,26.1953128420142,26.1954597858026,26.2143449920774,0,0
"12",0,21.54914340001,26.1493239578084,26.0599892641074,26.1281429023801,21.5315015404135,26.1590284315644,0,0
"13",0,21.5312677565528,26.1903687592321,26.0988151125924,26.1393012158819,21.514482952505,21.5719617773986,0,0
"14",0,21.4959524657698,26.1786478728351,26.0982641280099,26.126642040058,22.3619672001341,25.6630594853092,0,0
"15",0,21.5908363880629,26.2336828019989,26.1544575311383,26.1863734572502,26.120005152351,26.1617110554969,0,0
"16",0,21.4872772085292,26.1665873492817,26.059718292399,26.1024711951317,21.5280568558903,23.3612058374681,0,0
"17",0,21.7459758603049,26.1965140481859,26.1054614812337,26.3767815244372,26.3333141123722,25.2886706284251,0,0
"18",0,21.5792705416515,26.1496335997218,26.060929661589,26.1778619933365,26.0511474699479,26.0979718293417,0,0
"19",0,21.5520467629926,26.1603249559836,26.0742753511843,26.1339530942397,26.1451773770137,21.592990619311,0,0
"20",0,21.5828300216146,26.1949263350632,26.0960816803395,26.1832091240477,26.184951467141,26.1985637781218,0,0
"21",0,21.5475129819501,26.1785825815284,26.0981577205416,26.1388406137945,21.2996482467574,24.8971221245424,0,0
"22",0,21.5753432654666,26.1403621634226,26.0498216749666,26.2034679931351,24.9662672701453,26.1873310313858,0,0
"23",0,21.5022841764577,26.1610490304662,26.0703949046875,26.0749239258926,25.9755341987705,25.9509882106677,0,0
"24",0,21.5625401535662,26.1549268102834,26.0768702217251,26.1165411870356,26.1178798591344,23.6023600456199,0,0
"25",0,21.5460505724657,26.1620881256249,26.0767148398687,26.1807813912529,21.5871831382943,25.0412785017099,0,0
"26",0,21.49970789906,26.1732242089397,26.0936315833496,26.0850336787217,25.8713362934262,21.127032360959,0,0
"27",0,21.5594384126472,26.1883870582743,26.1165753212854,26.1897973918882,21.8416926458765,25.3331554286353,0,0
"28",0,21.5897992435417,26.1845352843962,26.1075659899086,26.1517512868741,26.0896775956381,26.0881763837735,0,0
"29",0,21.5055927305369,26.1689876207354,26.0955437132454,26.1031227691514,26.0704223697052,26.0937218921649,0,0
"30",0,21.526717691386,26.1727203460317,26.0785902617947,26.1552554626537,26.0887114971947,26.1433056639422,0,0
"31",0,21.6277131266675,26.1483371904928,26.0723362217928,26.2149553344861,21.6480217216859,25.8682525713606,0,0
"32",0,21.5533235911972,26.1979704434048,26.1161031857847,26.1739844456173,24.1011737130682,24.7038739541331,0,0
"33",0,21.5925377294793,26.1816762394084,26.0860809098838,26.1527154294818,26.1657196219506,26.1526846088306,0,0
"34",0,21.6214203971186,26.2328698390815,26.15158653582,26.2423564932239,26.2596348471738,23.1475392290928,0,0
"35",0,21.5892021800858,26.2140206062639,26.1240214416398,26.1202304194054,21.6295855959144,26.059366026206,0,0
"36",0,21.5815293751534,26.1525125698455,26.0673543799108,26.2077187560495,25.8012705957796,26.1407863411076,0,0
"37",0,21.5335289702885,26.1625696866653,26.071795540309,26.1448559755489,26.073722267692,23.277052441447,0,0
"38",0,21.5258234588971,26.2118583321734,26.1170549228723,26.1096055557483,26.0439962430404,21.5665808518759,0,0
"39",0,21.5286704319643,26.1791800440434,26.0952189851137,26.1186916235457,26.1471731333251,26.0923268095181,0,0
