"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX"
"20152","02973403",22,0,"1",.,"A"
"20152","02973433",20,0,"1",.,"A"
"20152","02973483",22,0,"1",.,"A"
"20152","02973493",54,0,"1",.,"A"
"20152","02973513",13,0,"1",.,"A"
"20152","02973543",19,0,"1",.,"A"
"20152","02973593",28,0,"1",.,"A"
"20152","02973693",48,0,"1",.,"A"
"20152","02973715",12,0,"1",.,"A"
"20152","02973763",45,0,"1",.,"A"
"20152","02973775",32,0,"1",.,"A"
"20152","02973793",16,0,"1",.,"A"
"20152","02973833",19,0,"1",.,"A"
"20152","02973843",12,0,"1",.,"A"
"20152","02973873",12,0,"1",.,"A"
"20152","02973883",43,0,"1",.,"A"
"20152","02973893",17,0,"1",.,"A"
"20152","02973903",77,0,"1",.,"A"
"20152","02973943",58,0,"1",.,"A"
"20152","02973953",22,0,"1",.,"A"
"20152","02973975",35,0,"1",30,"D"
"20152","02973983",10,0,"1",.,"A"
"20152","02974013",44,0,"1",.,"A"
